Neighborhood,Latitude,Longitude,Crime Rate,Murder,Rape,Robbery,Assault,Burglary,Auto Theft,Drug Violation
Allegheny Center,40.4515765,-80.0053403,7.6,0,2,9,5,8,5,31
Allegheny West,40.4507843,-80.0144032,8.2,1,0,4,6,6,4,12
Allentown,40.4191918,-79.9927314,6.4,0,2,15,23,48,11,66
Arlington,40.4138332,-79.96327,2.7,0,1,8,5,15,7,9
Arlington Heights,40.41688,-79.9615214,7.8,0,0,4,5,5,3,7
Banksville,40.4127817,-80.0357088,1.5,0,0,2,5,9,5,7
Bedford Dwellings,40.4512373,-79.9745804,3.5,0,0,7,8,8,2,25
Beechview,40.4126628,-80.0211465,2.4,1,1,7,9,47,37,29
Bloomfield,40.4617308,-79.9522528,5.4,0,3,45,20,70,36,42
Bluff,40.4369004,-79.9903987,1.6,0,0,12,11,14,14,37
Bon Air,40.407725,-80.0012233,3.2,0,0,1,4,7,1,11
Brighton Heights,40.4865869,-80.0297229,3.3,0,2,17,23,69,29,34
Brookline,40.4043578,-80.0109294,1.8,0,1,12,24,43,27,36
California-Kirkbride,40.4599421,-80.0218657,8.4,1,0,1,6,12,9,48
Carrick,40.384419,-79.9867635,4.5,1,2,49,28,118,48,58
Central Lawrenceville,40.4730821,-79.9488759,3.9,0,1,18,12,25,34,40
Central Northside,40.4584905,-80.0120067,4,0,1,15,10,29,12,58
Central Oakland,40.4406805,-79.9542332,3.9,0,1,23,8,66,14,7
Chartiers City,40.4578183,-80.0705756,1.9,0,0,0,4,2,2,3
Chateau,40.4518148,-80.0280506,25,0,0,1,0,0,2,14
Crafton Heights,40.449631,-80.0569283,2.3,0,2,4,7,29,8,23
Crawford-Roberts,40.4403871,-79.9813476,5.7,0,0,16,10,20,21,90
Downtown,40.4406777,-79.9892121,21.7,0,4,55,27,66,20,66
Duquesne Heights,40.4386014,-80.0260996,2.3,0,0,0,4,21,5,2
East Allegheny,40.4572599,-79.9976543,11,0,2,32,28,40,23,73
East Carnegie,40.4202222,-80.0745718,1.6,0,0,0,1,5,0,0
East Hills,40.4521925,-79.8817225,2.8,0,0,13,16,25,11,18
East Liberty,40.4612717,-79.9187769,8.3,2,2,63,40,64,59,57
Elliott,40.4400199,-80.0409711,4.4,2,0,18,7,22,10,23
Esplen,40.4627464,-80.0508428,10.3,0,0,5,3,10,6,11
Fairywood,40.4507815,-80.0847808,0.3,0,0,0,0,1,0,0
Fineview,40.464157,-80.0039415,5.4,1,1,6,19,19,8,59
Friendship,40.4592964,-79.9351049,5,0,0,7,4,9,15,8
Garfield,40.4672423,-79.94337,5,2,1,14,11,50,35,39
Glen Hazel,40.4050484,-79.9308344,1.4,0,1,2,2,3,1,2
Greenfield,40.4216327,-79.9353993,2,0,2,7,6,43,15,23
Hays,40.3937604,-79.9499181,4.1,0,0,0,1,5,4,1
Hazelwood,40.4096285,-79.9486102,3.7,1,0,10,17,47,25,44
