Neighborhood,Latitude,Longitude
Allegheny Center,40.4529367,-80.0063438
Allegheny West,40.4522733,-80.0157407
Allentown,40.4226177,-79.993086
Arlington,40.4151786,-79.9700183
Arlington Heights,40.4166594,-79.9624025
Banksville,40.41069,-80.0386431
Bedford Dwellings,40.4504996,-79.9745604
Beechview,40.4106249,-80.0247758
Beltzhoover,40.4169163,-80.0041003
Bloomfield,40.461758,-79.9495501
Bluff,40.4364592,-79.9844596
Bon Air,40.4072589,-80.0007365
Brighton Heights,40.4778467,-80.0358877
Brookline,40.3957399,-80.0142261
California Kirkbride,40.4620134,-80.0247762
Carrick,40.3964583,-79.9903303
Central Lawrenceville,40.4723486,-79.9538655
Central Northside,40.4572459,-80.0069541
Central Oakland,40.4386225,-79.9546577
Chartiers,40.4580122,-80.0706935
Chateau,40.4542354,-80.0311989
Crafton Heights,40.4444987,-80.051453
Crawford-Roberts,40.4427831,-79.9835907
Downtown,40.4404399,-80.0058066
Duquesne Heights,40.4369802,-80.0240019
East Allegheny,40.4550552,-79.9974072
East Carnegie,40.4156247,-80.0753328
East Hills,40.4537204,-79.8749519
East Liberty,40.4620685,-79.9239522
Elliott,40.442737,-80.0398464
Esplen,40.4626628,-80.0550733
Fairywood,40.4503467,-80.0839444
Fineview,40.4645135,-80.0039424
Friendship,40.4620084,-79.934032
Garfield,40.4671118,-79.9398232
Glen Hazel,40.4072914,-79.9292175
Greenfield,40.4216495,-79.9436344
Hays,40.3895137,-79.9339397
Hazelwood,40.4131664,-79.9391633
Highland Park,40.4723095,-79.919498
Homewood North,40.4587845,-79.8900727
Homewood South,40.4534337,-79.8928719
Homewood West,40.459399,-79.9041358
Knoxville,40.414041,-79.9923717
Larimer,40.4625688,-79.9083841
Lincoln-Lemington-Belmar,40.4735235,-79.89804605
Lincoln Place,40.3678472,-79.9172723
Lower Lawrenceville,40.4645141,-79.9643986
Manchester,40.4552017,-80.0243413
Marshall-Shadeland,40.4703468,-80.0333876
Middle Hill,40.4474756,-79.9723934
Morningside,40.4824345,-79.929518
Mount Oliver,40.4110465,-79.9793123
Mount Washington,40.4309025,-80.0103312
New Homestead,40.3911804,-79.920606
North Oakland,40.4470403,-79.9533557
North Shore,40.4474127,-80.0078641
Northview Heights,40.4784024,-80.000609
Oakwood,40.4265897,-80.0666657
Overbrook,40.3842203,-79.9961442
Perry North,40.4859022,-80.022832
Perry South,40.4683084,-80.0134748
Point Breeze,40.4527086,-79.9112635
Point Breeze North,40.4516431,-79.9024488
Polish Hill,40.4554385,-79.9691932
Regent Square,40.43285,-79.89405
Ridgemont,40.4301172,-80.0344878
Shadyside,40.4515181,-79.9365458
Sheraden,40.456705,-80.0560774
South Oakland,40.4332628,-79.959869
South Shore,40.4370637,-80.0114619
South Side Flats,40.4293837,-79.9903144
South Side Slopes,40.4245136,-79.9761635
Spring Garden,40.4689579,-79.9869975
Spring Hill-City View,40.4667298,-79.9939292
Squirrel Hill North,40.4435224,-79.9307556
Squirrel Hill South,40.4283903,-79.917277
Stanton Heights,40.4814066,-79.9375723
Strip District,40.453958,-79.9842195
Summer Hill,40.4878468,-80.007276
Swisshelm Park,40.420803,-79.9061188
Terrace Village,40.4431862,-79.9703847
Troy Hill,40.4689579,-79.9786639
Upper Hill,40.4530683,-79.9598233
Upper Lawrenceville,40.4820374,-79.9510248
West End,40.4409185,-80.0340659
West Oakland,40.4406635,-79.9646426
Westwood,40.4330251,-80.0478444
Windgap,40.4561965,-80.0757812
